LSS/W53-001	“未来の僕らは知ってるよ”国木田 花丸
LSS/W53-073	“WONDERFUL STORIES”ダイヤ＆果南＆鞠莉
LSS/W53-074	“MY舞☆TONIGHT”黒澤 ダイヤ
LSS/W53-075	“私たちの輝き”小原 鞠莉
LSS/W53-076	“私たちの輝き”松浦 果南
LSS/W53-077	“私たちの輝き”黒澤 ダイヤ
LSS/W53-078	“MY舞☆TONIGHT”松浦 果南
LSS/W53-079	“WATER BLUE NEW WORLD”黒澤 ダイヤ
LSS/W53-080	妹への想い 黒澤 ダイヤ
LSS/W53-081	斬新でハッピーな曲 小原 鞠莉
LSS/W53-082	音の正体 松浦 果南
LSS/W53-083	“WATER BLUE NEW WORLD”松浦 果南
LSS/W53-084	“MY舞☆TONIGHT”小原 鞠莉
LSS/W53-085	閉校祭の準備 黒澤 ダイヤ
LSS/W53-086	満天の星空 松浦 果南
LSS/W53-087	閉校祭の準備 小原 鞠莉
LSS/W53-088	挑戦の見守り 松浦 果南
LSS/W53-089	全力投球！ 小原 鞠莉
LSS/W53-090	新学期の始まり 小原 鞠莉
LSS/W53-091	“ダイヤちゃん”を求めて 黒澤 ダイヤ
LSS/W53-092	気配り上手 松浦 果南
LSS/W53-093	予想外の優勝者 黒澤 ダイヤ
LSS/W53-094	シャイ煮プレミアム
LSS/W53-095	Aqours ダンスフォーメーション アイディアノート
LSS/W53-096	少しの我慢
LSS/W53-097	ずっと一緒に
LSS/W53-098	繋がっている3人
LSS/W53-099	分かりやすいしぐさ
LSS/W53-100	曲作りの競争
LSS/W53-101	パジャマでのんびり ルビィ＆善子＆花丸
LSS/W53-102	パジャマでのんびり 曜＆千歌＆梨子
LSS/W53-103	パジャマでのんびり ダイヤ＆鞠莉＆果南
LSS/W53-P01	輝きに向かって Aqours
LSS/W53-P02	私服でおでかけ ダイヤ＆鞠莉＆果南
LSS/W53-P03	私服でおでかけ 曜＆千歌＆梨子
LSS/W53-P04	私服でおでかけ ルビィ＆善子＆花丸
